id,pred,confidence,justification,type,index,text,label,len_text,machiavellian,narcissitic expressions,lack of professional decorum,lack of consideration,favoritism (discrimination),comments refusing responsibility,threatening statements
c15572f2c38d,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],137,"""\""RickVince Should this not be a CreditResearch initiative while the business unit focuses on originating good economic transactions Not to be complaining but shouldnt EES be focusing on infrastructure issues rather than waste resources on a project we are already moving forward on You cant run a portfolio model unless you have deals in a risk system How complex do we want these MODELS to be Behavioral implications on credit default They still dont seem to understand.\""""",DLB,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89c4f68982ae,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],215,"""\""-Pablo Picasso How the fuck did you work that out\""""",DLB,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83c90a77,None,95.67,This sentence does not contain any sign of destructive leadership.,None,872,"""\""Yes If yes who Sherri Sera Joannie Williamson Do you have access to a shared calendar\""""",None,18,,,,,,,
93fc9d6d,None,92.56,This sentence does not contain any sign of destructive leadership.,None,1724,"""\""If Edison and PGE go bankrupt Bowen says the generators might have to wa it years to get even partial payment.\""""",None,23,,,,,,,
a9734730,DLB,92.34,This sentence contains Machiavellian Expressions as it suggests a manipulative opportunity for preferential treatment.,['Machiavellian Expressions'],8,"""\""Pat Arthur of our office is in charge of selling and setting up hospitality suites for companies in Texas and we have an opportunity for our firm and our firms friends to sign up before he goes public.\""""",None,40,,,,,,,
a5e73fa2,None,93.12,This sentence does not contain any sign of destructive leadership.,None,621,"""\""I know how incredibly busy you all are\""""",None,10,,,,,,,
43755c74,DLB,95.67,This sentence contains Machiavellian Expressions.,['Machiavellian Expressions'],1711,"""\""I immediately resolved that my path and that of Susman my man Steve Susman would never again cross.\""""",None,20,,,,,,,
0e9bcd02,None,93.12,This sentence does not contain any sign of destructive leadership.,None,978,"""\""Hi Jeff Update I am a good friend of John Millers in Atlanta.\""""",None,15,,,,,,,
047df13e,None,93.12,This sentence does not contain any sign of destructive leadership.,None,2020,"""\""Copel has as interest along with El Paso in the power plant which would use the gas.\""""",None,19,,,,,,,
5e42f940,DLB,92.34,This sentence contains Comments Refusing Responsibility,['Comments Refusing Responsibility'],1962,"""\""After alleging that the Hendricks attorneys refused to pay Plaintiffs first billing it is alleged thatdefendants refusal may have resulted from the conclusions Plaintiff drew in its analysis.\""""",None,30,,,,,,,
ebb201e6,None,95.12,This sentence does not contain any sign of destructive leadership.,None,1582,"""\""We really relied heavily on HR and Drew had his team there for us. .\""""",None,17,,,,,,,
815ee78d,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1635,"""\""but he did know who he was.\""""",None,9,,,,,,,
f8c96531,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1038,"""\""In Public Private Organizations State of the World Report List Your Company in Two New CA Directories Dallas Cleans the Air with the IECC Energy Code Alliance Associates Honored with Awards ALLIANCE NEWS Alliance Offers Earth Day Tax Home Improvement Tips to Save Money Special Issue of eFFICIENCY NEWS to Analyze Federal Budget EYE OPENERS Energy Efficiency Facts Even Children Can Understand Schools Spending on Energy Save the Planet\""""",None,71,,,,,,,
8da2db7f,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1221,"""\""We plan to stay in Houston for a long time and it is essential that the Houston Rockets and Comets ma ke Houston their home too.\""""",None,28,,,,,,,
39924942,None,95.67,This sentence does not contain any sign of destructive leadership.,None,126,"""\""I think if you agree to send this out over your signature it would be enormously helpful.\""""",DLB,19,,,,,,,
4028d818,None,95.67,This sentence does not contain any sign of destructive leadership.,None,284,"""\""Im attaching a map to the North Shepherd facility its about minutes outside of downtown.\""""",None,17,,,,,,,
cfeff129,None,93.12,This sentence does not contain any sign of destructive leadership.,None,391,"""\""so you can reach me on my cell phone ...\""""",None,11,,,,,,,
50398354741c,None,93.12,This sentence does not contain any sign of destructive leadership.,None,82,"""\""i could be moving my shit just about anywhere in the next few weeks.\""""",DLB,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ebd75a84,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1849,"""\""The focus and the audience will be national but heavily informed and influenced by the California crisis.\""""",None,19,,,,,,,
ec0f4354c4a6,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],119,"""\""In the press I saw two news stories that I wondered if we Enron had any rolehand in and what was the offical spin in both cases.\""""",DLB,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8af26d17,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1403,"""\""Its not a pure financial investment said Hedquist of the equity stake Vignette and the other strategic partners have in Artesia.\""""",None,23,,,,,,,
599b9503,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1828,"""\""Thank you Linda S. Trevino\""""",None,8,,,,,,,
580f0ade,None,95.67,This sentence does not contain any sign of destructive leadership.,None,159,"""\""As you will notice I was assigned to lead the project and am looking forward to working with Enron again.\""""",None,22,,,,,,,
d3c36167,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2055,"""\""Hi Richard Per my voicemail are you available for at least an hour to meet wGreg Whalley while he is in London He is wide open on Thursday.\""""",None,30,,,,,,,
4a224286,None,93.12,This sentence does not contain any sign of destructive leadership.,None,772,"""\""So my vote is torecommend to the board that we eliminate the September meeting.\""""",None,16,,,,,,,
4db3225a,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],2013,"""\""change in role ie your job within your department changes .\""""",None,12,,,,,,,
9a2818ed,None,95.67,This sentence does not contain any sign of destructive leadership.,None,377,"""\""Reservations have been made in Matt Khouries name at Capital Grille located at Westheimer Road in the Galleria area at p.m. Should you need transportation to the restaurant I will be happy to make those arrangements for you.\""""",None,43,,,,,,,
47f02252,None,95.12,This sentence does not contain any sign of destructive leadership.,None,1148,"""\""TBD May Social location TBD to pm June Breakfast Club meets at ROCC at am June Howard Stevenson HBS Professor pm to pm location TBD club final meeting spouses welcome June Breakfast Club meets at ROCC at am\""""",None,40,,,,,,,
f8eea7bb,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2280,"""\""We take a snapshot of the Corporate Administrative Services rent file for each room in EB and AC of the Omaha phone database for each room in Omaha and of the HR company and department for each employee.\""""",None,40,,,,,,,
b0b6a2ad,None,93.12,This sentence does not contain any sign of destructive leadership.,None,678,"""\""Ive called Mom and Dadclearly Mark were very concerned.\""""",None,11,,,,,,,
8972f26f,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1740,"""\""In Dallas and Los Angeles they note the government condemned whole blocks of land for private development around the arena.\""""",None,22,,,,,,,
ea159177,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1950,"""\""The price is Y about per head and we were proposing to send two people.\""""",None,17,,,,,,,
18cf7b79,None,93.12,This sentence does not contain any sign of destructive leadership.,None,28,"""\""Maybe Michael could be led to suggest an alternative memo or approach.\""""",DLB,14,,,,,,,
8a3ce68b9bd2,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],252,"""\""he called an analyst who challenged Enron's financial reporting an \\\""asshole\\\""\""""",DLB,16,0.0,0.0,1.0,1.0,0.0,0.0,0.0
d04787c0,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1717,"""\""I think this means we have to look at an alternative deal Campbell said.\""""",None,16,,,,,,,
b3033e61,None,97.23,This sentence does not contain any sign of destructive leadership.,None,399,"""\""Thank you for the invitation to Utilities .\""""",None,9,,,,,,,
5d6ff928,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1393,"""\""In short bankruptcy does nothing to solve Californias supplydemand imbalance.\""""",None,12,,,,,,,
a2605bec,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1988,"""\""Average prices at statesanctioned energy markets were four to five times the prices of a year earlier and three to four times the level utilities could charge customers.\""""",None,30,,,,,,,
38a449b9,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1485,"""\""Reports are preliminary but they are reporting it hit just after AM your time and that buildings have collapsed and there are deathsthough they havent said how many.\""""",None,30,,,,,,,
6d84fe5a,None,93.12,This sentence does not contain any sign of destructive leadership.,None,16,"""\""Dear Ken Night before last I visited with President and Mrs. Bush and suggested that he give you a call regarding TFA Technology For All I told him that it might prove valuable for his sons campaign When we spoke with Cynthia Sandherr in Washington a week or so ago she said that the Digital Divide was the hottest topic on Capital Hill.\""""",None,66,,,,,,,
303e87a40d20,DLB,95.67,This sentence contains Narcissistic Expressions as it attributes high importance to oneself.,['Narcissistic Expressions'],138,"""\""What I cant say in my resume is that Im the best in my class at finance statistics and information technology.\""""",DLB,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0
add2f15c,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1749,"""\""It may be that the only way the numbers can work is with a rate increase.\""""",None,18,,,,,,,
e1e69e24,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1425,"""\""Make Use of Other Instruments Designed to Address Credit Risk As indicated in our letter responding to DWRs RFP we are willing to ac cept other forms of credit from DWR.\""""",None,33,,,,,,,
e3dc6daa,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2023,"""\""David Haug currently Executive Vice President of Enron and formerly Chairman and CEO of Enron CALME has elected to leave Enron to pursue other opportunities.\""""",None,27,,,,,,,
d3901f599f34,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],216,"""\""-Pythagorus You want me to paint the whole fucking ceiling\""""",DLB,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bd9e6760,None,95.12,This sentence does not contain any sign of destructive leadership.,None,724,"""\""ONE PAGER.docFichier Handout.docFichier Talking Points.doc Doug Thank you for speaking with Chris Long and I this morning.\""""",None,25,,,,,,,
4394b6c6,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1818,"""\""Still he invited Mr. Euell to dinner.\""""",None,10,,,,,,,
68789a55,None,97.23,This sentence does not contain any sign of destructive leadership.,None,1346,"""\""His research has been published in several accounting and finance journals.\""""",None,13,,,,,,,
2dcbcce8,None,97.23,This sentence does not contain any sign of destructive leadership.,None,1479,"""\""Randy your suggestion looks fine to me.\""""",None,9,,,,,,,
3ecf3edf,None,95.12,This sentence does not contain any sign of destructive leadership.,None,1492,"""\""SEC looks good for Jan or Feb. I am working with Richard Sanders and Robin Gibb on defense to the California class actions.\""""",None,26,,,,,,,
ef654742,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2004,"""\""By NANCY VOGEL Times Staff Writer SACRAMENTOConfusion over new federal price restrictions prompted several electricity sellers to back away from sales to California on Monday afternoon pushing the state closer to blackouts energy officials said.\""""",None,37,,,,,,,
ca119302d755,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],68,"""\""Run down the hall with your dick hanging out while pissing all over and yell, It won't stop\""""",DLB,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0
b12cd0a0,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1651,"""\""Dan Nelson a spokesman for Senate Republican leader James Brulte of Rancho Cucamonga said Republicans generally oppose state purchase of power lines from utility companies as part of a plan to rescue them from financial difficulty.\""""",None,38,,,,,,,
9f11e5496fef,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],295,"""\""First, I had my phone dial asshole #1.\""""",DLB,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
b0eb0182,None,95.12,This sentence does not contain any sign of destructive leadership.,None,856,"""\""We will host between CXO and seniorlevel business and technology professionals at Spring SymposiumITxpo as well as a significant national press contingent.\""""",None,24,,,,,,,
10b50eb7,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1816,"""\""Stan also mentioned the there is an unregulated side of PGE that is enterring into these transactions.\""""",None,19,,,,,,,
c0a145139f84,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],105,"""\""Like being in hell with your back broke .\""""",DLB,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0
e5b97f35,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],138,"""\""Yeah thats right keep fiddlin with that youll break it .\""""",DLB,12,,,,,,,
8dae2ab5,None,95.67,This sentence does not contain any sign of destructive leadership.,None,824,"""\""This communication is for information purposes only and should not be regarded as an offer to sell or as a solicitation of an offer to buy any financial product an official confirmation of any transaction or as an official statement of Lehman Brothers Inc.\""""",None,46,,,,,,,
baa39f2e,None,92.34,This sentence does not contain any sign of destructive leadership.,None,2125,"""\""It seems as though we are setting up one centralized tradingrisk function but we will have overlapping origination functions.\""""",None,21,,,,,,,
3a629cafae23,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],396,"""\""Oh, well in that case I'll fix up a great meal and that Son of a Bitch can be the main course.\""""",DLB,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dbade30c,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1878,"""\""Third and perhaps most serious of all is TNPCs vulnerability on the technology side of its operation.\""""",None,19,,,,,,,
a8cf4ebe,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1215,"""\""We have been working on Kens schedule.\""""",None,9,,,,,,,
29e84b32,None,95.67,This sentence does not contain any sign of destructive leadership.,None,301,"""\""It is the global leader in education publishing and also has considerable growing interests as a provider of financial information and other media.\""""",None,25,,,,,,,
70246891,None,92.34,This sentence does not contain any sign of destructive leadership.,None,1819,"""\""Strikingly an arena was built with far fewer tax dollars in one city smaller than Houston Denver.\""""",None,19,,,,,,,
fd3145ac,DLB,95.67,This sentence contains Comments Refusing Responsibility,['Comments Refusing Responsibility'],121,"""\""While the purpose of the panel seemed to be to determine that market power was being exercised and that prices were too high and therefore not just and reasonable the panelist stopped short of blaming generators and market participants in behaving illegally.\""""",None,44,,,,,,,
956891bd,None,95.67,This sentence does not contain any sign of destructive leadership.,None,957,"""\""For years we have been designing software for property managers.\""""",None,12,,,,,,,
0c849572129f,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],141,"""\""and got some shit to finish here\""""",DLB,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9534f419,None,95.67,This sentence does not contain any sign of destructive leadership.,None,36,"""\""Ray Joe Dilg has informed me of your very kind offer of assistance with regard to my sons James V. Derrick III interest in applying to the SMU School of Law I am most grateful.\""""",DLB,38,,,,,,,
dd9f9a6d,None,93.12,This sentence does not contain any sign of destructive leadership.,None,976,"""\""Hi Barbara Ken said that he will be on the plane so unable to participate in the call.\""""",None,20,,,,,,,
adddc193,None,92.34,This sentence does not contain any sign of destructive leadership.,None,171,"""\""but we are holding the afternoon of through for you.\""""",None,12,,,,,,,
8735b7e6,DLB,92.34,This sentence contains Lack of professional decorum,['Lack of professional decorum'],344,"""\""November is not good for him.\""""",None,8,,,,,,,
2a8d566f,None,93.12,This sentence does not contain any sign of destructive leadership.,None,323,"""\""Looking forward to his return call...\""""",None,8,,,,,,,
2a94d985,None,93.12,This sentence does not contain any sign of destructive leadership.,None,2072,"""\""I keep getting the mail returned.\""""",None,8,,,,,,,
dc01d356,None,95.67,This sentence does not contain any sign of destructive leadership.,None,873,"""\""You can always send an email to the office of the chairman email address.\""""",None,16,,,,,,,
b2a658525d7b,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],256,"""\""The second woman says \\\""Oh that's nothing, I'm thinking of having my asshole bleached\\\""\""""",DLB,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
199ff917,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2033,"""\""EES Duran and I talked with Delainey yesterday.\""""",None,10,,,,,,,
3b6c9dcd,None,93.12,This sentence does not contain any sign of destructive leadership.,None,790,"""\""Thanks again SRS Karen MarshallECT PM To Jeff SkillingCorpEnronENRON cc Subject Re Franz Edward Alphonse Thanks Sherri.\""""",None,19,,,,,,,
0b82cf37,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1785,"""\""On a typical winter day the maximum demand on the grid managed by t he state Independent System Operator about percent of the total state network is about megawatts.\""""",None,31,,,,,,,
ddf4382c,None,95.67,This sentence does not contain any sign of destructive leadership.,None,275,"""\""If you happen to be in the building and want to stop by thats fine too.\""""",None,18,,,,,,,
9caf9e8b,None,92.34,This sentence does not contain any sign of destructive leadership.,None,1736,"""\""In a filing with federal regulators the Independent System Operator said t he wholesalers overcharged the ISO by million for spotmarket purchases i n December and January.\""""",None,29,,,,,,,
6205eca2,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1226,"""\""Well done SRS From Charlene Jackson AM Sent by Cheryl Kuehl To David\""""",None,15,,,,,,,
add68aed,None,95.67,This sentence does not contain any sign of destructive leadership.,None,201,"""\""For example California c ould amortize the recovery of the utilities past debt over a year perio d.\""""",None,20,,,,,,,
127bdb78,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2051,"""\""He uses rental pilots for the patrols.\""""",None,9,,,,,,,
4f7cf8bb,None,95.67,This sentence does not contain any sign of destructive leadership.,None,646,"""\""If there are any questions are concerns feel free to contact me.\""""",None,14,,,,,,,
0e4076efaf69,DLB,95.67,This sentence contains Threatening Statements,['Threatening Statements'],170,"""\""Do you not know who you are fucking with\""""",DLB,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4a9b846b,None,95.12,This sentence does not contain any sign of destructive leadership.,None,1276,"""\""Bennett was also named to the board.\""""",None,9,,,,,,,
5b81c625,None,95.67,This sentence does not contain any sign of destructive leadership.,None,792,"""\""Thanks and hope all is well SRS\""""",None,9,,,,,,,
9c5f596c,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],659,"""\""Im sure you probably do SRS\""""",None,8,,,,,,,
9d9538e9,None,95.67,This sentence does not contain any sign of destructive leadership.,None,774,"""\""Sometime next week Intuits CIO Jennifer Hall will be presenting their formal recommendation to Stephen Bennett President CEO.\""""",None,20,,,,,,,
802ec484,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1301,"""\""Consequently suppliers have no assurance that the PUC will agr ee to include in rates the charges to cover the costs of power contracts that DWR has entered into with suppliers.\""""",None,33,,,,,,,
e27b0b2c,None,95.67,This sentence does not contain any sign of destructive leadership.,None,942,"""\""Do You Yahoo Talk to your friends online with Yahoo Messenger.\""""",None,13,,,,,,,
100fe899af28,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],387,"""\""Yes, my Son, it is a big Son of a Bitch.\""""",DLB,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4308ae99,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2024,"""\""Davis announced Friday that Californias other major investorowned utility Southern California Edison had agreed on the basic framework of a deal tha t includes the sale of its transmission grid to the state for . billion.\""""",None,38,,,,,,,
0e56765a,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],113,"""\""If I dont get them back today I will send them over the weekend so they are there for you on Monday.\""""",None,24,,,,,,,
9cd6b767,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1193,"""\""To Kenneth LayCorpEnronENRON cc Subject Re Duchess of Northumbrias request Rosie Thanks for the message.\""""",None,17,,,,,,,
c54e1815,None,93.12,This sentence does not contain any sign of destructive leadership.,None,2224,"""\""The May search warrant covers the companies actions between June and Oct. .\""""",None,15,,,,,,,
42c901a3,DLB,92.56,This sentence contains Lack of professional decorum,['Lack of professional decorum'],290,"""\""In talking to your secretary it apparently got lost in the shuffle so Im sending it as an attachment via email.\""""",None,23,,,,,,,
f2756914,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2158,"""\""On Tuesday January selected business units within EES will be sharing their business and marketing plans for .\""""",None,19,,,,,,,
1a90d82b,None,95.67,This sentence does not contain any sign of destructive leadership.,None,2242,"""\""This event is convened by the Interstate Oil and Gas Compact Commission IOGCC.\""""",None,15,,,,,,,
465e98e7,None,93.12,This sentence does not contain any sign of destructive leadership.,None,321,"""\""Ladies and gentlemen of Class Jeff Skilling has reserved Drayton McLanes suite at Enron Field for the October last game of the regular season Astros game against the Milwaukee and he would like you to be his guests.\""""",None,40,,,,,,,
8603aadf,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1206,"""\""We are in receipt of your letter to Mr. Skilling regarding CallTech Communications contact center services.\""""",None,19,,,,,,,
82f909dc,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1986,"""\""As part of both transactions there was an absolute put agreement to Enron in favor of Soc Gen and B of A. B of A has indicated it intends to exercise the put which will have the effect of moving the loan back on the books of Enron.\""""",None,51,,,,,,,
7e923e49b324,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],386,"""\""Father, that is the biggest Son of a Bitch I've ever seen.\""""",DLB,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0289c65e,None,92.67,This sentence does not contain any sign of destructive leadership.,None,329,"""\""Million Buyer communities Top IT eBusiness Risks Opportunities Proactive online analysis assessment Online complimentary information and expertise\""""",None,19,,,,,,,
a04c9e5f,DLB,92.56,This sentence contains Lack of professional decorum,['Lack of professional decorum'],1047,"""\""Its being estimated at ..\""""",None,6,,,,,,,
16fe482e,None,95.12,This sentence does not contain any sign of destructive leadership.,None,581,"""\""He didnt have time to speak on first contact so we set up a time to talk on Monday and he did not call and was unavailable when I rang him.\""""",None,33,,,,,,,
665b6853,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1145,"""\""Subject RE Genesis Park Confirmed for am on Wed Dec .\""""",None,12,,,,,,,
0747bb3d,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1174,"""\""The participatesgive the bikes that they have put together as a team to needychildren in their community.\""""",None,19,,,,,,,
a5088ebf,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1947,"""\""In fact Mincato recently confirmed that Eni plans to increase its daily output of oil from a current level of .\""""",None,22,,,,,,,
0a1c84c7bc21,DLB,92.34,This sentence contains Machiavellian Expressions.,['Machiavellian Expressions'],29,"""\""Happy Holidays Bill I will tell Miller the married man that we are trying...somehow..some way to do some business.\""""",DLB,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8dee92ea,DLB,95.23,This sentence contains Lack of professional decorum,['Lack of professional decorum'],125,"""\""Youre on your own to sign up.\""""",DLB,9,,,,,,,
30236d77,DLB,92.34,This sentence contains Narcissistic Expressions,['Narcissistic Expressions'],26,"""\""Enron of course is a leader in creating markets so it would be great if someone from Enron could lead a session. .\""""",None,25,,,,,,,
1b097a4e,None,93.12,This sentence does not contain any sign of destructive leadership.,None,747,"""\""Preregistration and prepayment of .\""""",None,6,,,,,,,
fe18069b,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1568,"""\""To ask you to serve as the keynote speaker for the Davenport Society banquet on October .\""""",None,18,,,,,,,
dc1636d3c639,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],102,"""\""Like shit through a goose. .\""""",DLB,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dbf33b36,None,95.67,This sentence does not contain any sign of destructive leadership.,None,495,"""\""A few seagulls just went by\""""",None,8,,,,,,,
